family_type,go_function,family_count
Accessory,"IEA,DNA-binding transcription factor activity",1
Accessory,"IEA,DNA-directed DNA polymerase activity",1
Accessory,"IEA,GDP-L-fucose synthase activity",1
Accessory,"IEA,GTP binding",1
Accessory,"IEA,L-ascorbate 6-phosphate lactonase activity",1
Accessory,"IEA,NAD binding",1
Accessory,"IEA,NAD+ binding",1
Accessory,"IEA,NADP binding",1
Accessory,"IEA,NADP+ binding",1
Accessory,"IEA,O antigen polymerase activity",1
Accessory,"IEA,RNA nuclease activity",1
Accessory,"IEA,S-adenosyl-L-methionine binding",1
Accessory,"IEA,S-adenosylmethionine-dependent methyltransferase activity",1
Accessory,"IEA,acyl carrier activity",1
Accessory,"IEA,acyltransferase activity",1
Accessory,"IEA,adenyl nucleotide binding",1
Accessory,"IEA,beta-phosphoglucomutase activity",1
Accessory,"IEA,butanol dehydrogenase (NAD+) activity",1
Accessory,"IEA,calcium ion binding",1
Accessory,"IEA,carbohydrate binding",1
Accessory,"IEA,carbohydrate derivative binding",1
Accessory,"IEA,carbohydrate kinase activity",1
Accessory,"IEA,carboxylate reductase activity",1
Accessory,"IEA,catalytic activity",1
Accessory,"IEA,cation binding",1
Accessory,"IEA,diguanylate cyclase activity",1
Accessory,"IEA,endonuclease activity",1
Accessory,"IEA,flavin adenine dinucleotide binding",1
Accessory,"IEA,fucose:proton symporter activity",1
Accessory,"IEA,glutamic-type endopeptidase activity",1
Accessory,"IEA,guanine deaminase activity",1
Accessory,"IEA,helicase activity",1
Accessory,"IEA,hydrolase activity",1
Accessory,"IEA,hydrolase activity%2C acting on carbon-nitrogen (but not peptide) bonds%2C in linear amides",1
Accessory,"IEA,hydrolase activity%2C acting on ester bonds",1
Accessory,"IEA,hydrolase activity%2C hydrolyzing O-glycosyl compounds",1
Accessory,"IEA,iron-sulfur cluster binding",1
Accessory,"IEA,isomerase activity",1
Accessory,"IEA,kinase activity",1
Accessory,"IEA,metal ion binding",1
Accessory,"IEA,metalloexopeptidase activity",1
Accessory,"IEA,molybdate ion transmembrane transporter activity",1
Accessory,"IEA,molybdenum ion binding",1
Accessory,"IEA,nuclease activity",1
Accessory,"IEA,nucleotidyltransferase activity",1
Accessory,"IEA,oxidoreductase activity",1
Accessory,"IEA,oxidoreductase activity%2C acting on the CH-OH group of donors%2C NAD or NADP as acceptor",1
Accessory,"IEA,peptidase activity",1
Accessory,"IEA,phosphotransferase activity%2C for other substituted phosphate groups",1
Accessory,"IEA,primary methylamine oxidase activity",1
Accessory,"IEA,protein dimerization activity",1
Accessory,"IEA,quinone binding",1
Accessory,"IEA,sequence-specific DNA binding",1
Accessory,"IEA,serine-type peptidase activity",1
Accessory,"IEA,sigma factor activity",1
Accessory,"IEA,site-specific DNA-methyltransferase (adenine-specific) activity",1
Accessory,"IEA,tRNA nucleotidyltransferase activity",1
Accessory,"IEA,toxin activity",1
Accessory,"IEA,transcription regulator activity",1
Accessory,"IEA,transmembrane transporter activity",1
Accessory,"IEA,transposase activity",1
Accessory,"IEA,zinc ion binding",1
Accessory,L-rhamnonate dehydratase activity,1
Accessory,N-acetyltransferase activity,1
Accessory,N-acyltransferase activity,1
Accessory,O-antigen ligase activity,1
Accessory,RNA binding,1
Accessory,RNA endonuclease activity,1
Accessory,RNA ligase activity,1
Accessory,RNA-3'-phosphate cyclase activity,1
Accessory,UDP-N-acetylglucosamine 2-epimerase activity,1
Accessory,UDP-galactopyranose mutase activity,1
Accessory,UDP-glucose 6-dehydrogenase activity,1
Accessory,UDP-glucose:hexose-1-phosphate uridylyltransferase activity,1
Accessory,acetylglucosaminyltransferase activity,1
Accessory,acyl binding,1
Accessory,adenylate cyclase activity,1
Accessory,aldose 1-epimerase activity,1
Accessory,alpha-mannosidase activity,1
Accessory,aspartate-ammonia ligase activity,1
Accessory,aspartic-type endopeptidase activity,1
Accessory,autoinducer-2 kinase activity,1
Accessory,betaine-homocysteine S-methyltransferase activity,1
Accessory,carbohydrate binding,1
Accessory,carbohydrate kinase activity,1
Accessory,carbohydrate:proton symporter activity,1
Accessory,carboxy-lyase activity,1
Accessory,catalytic activity,1
Accessory,choline dehydrogenase activity,1
Accessory,copper ion binding,1
Accessory,cyanate hydratase activity,1
Accessory,cyclic-di-GMP binding,1
Accessory,cyclic-guanylate-specific phosphodiesterase activity,1
Accessory,cysteine-type peptidase activity,1
Accessory,cytidylyltransferase activity,1
Accessory,cytosine transmembrane transporter activity,1
Accessory,cytoskeletal motor activity,1
Accessory,dTDP-4-dehydrorhamnose 3%2C5-epimerase activity,1
Accessory,damaged DNA binding,1
Accessory,deacetylase activity,1
Accessory,deoxyribonuclease inhibitor activity,1
Accessory,double-stranded DNA 5'-3' DNA exonuclease activity,1
Accessory,endonuclease activity,1
Accessory,endopeptidase inhibitor activity,1
Accessory,exonuclease activity,1
Accessory,ferrous iron binding,1
Accessory,flavin adenine dinucleotide binding,1
Accessory,flippase activity,1
